,Question,Right answer
39,"The Royal Commission into Drug Trafficking (1977–1979) or Woodward Royal Commission was a royal commission initiated by the New South Wales Government to investigate drug trafficking in New South Wales, Australia, especially links between the New South Wales Police and Mafia, The Honoured Society, is a Calabrian 'Ndrangheta criminal confederation, started in Melbourne and currently active in all of which country?",Australia
40,"The 337th Flight Test Squadron (337 FLTS) was most recently part of the 46th Test Wing and based at McClellan Air Force Base, a former United States Air Force base located in the North Highlands area of Sacramento County, in which US state?",California
41,The axial turbojet Pirna 014 was designed by engineers from this German aircraft and aircraft engine manufacturer based in which city?,Dessau
42,"Which faith is designated to the University of Providence, private university accredited by the NW association of Schools and Colleges and located in a third largest city in Montana after being passed by Missoula?",Roman Catholic
43,Pauline Henry was known as the vocalist of a very popular cover song. Which album was this song from?,The Joshua Tree
44,Guitars for Wounded Warriors is an album that was recorded in the village in which New York county?,Ulster County
45,"What American country music singer-songwriter, born in May of 1942, sang a duet with her ex-husband the same year that he released the song ""The Battle?""",Tammy Wynette
46,"Who was born first, Francis Nethersole or Elizabeth Stuart?",Sir Francis Nethersole
47,What does the Hacker-Pschorr Brewery have to limit in order to comply with German regulations?,ingredients in beer
48,"Don Barry Mason was the founder of the Psychedelic Shamanistic Institute (PSI), which other member that's Welsh, that died on 10 April 2016?",Dennis Howard Marks
49,What male actor starred in The Messenger?,Robert Sheehan
50,Are Gin and tonic and Paloma both cocktails based on tequila?,no
51,Who is older Glenn Hughes or Ross Lynch?,Glenn Hughes
52,"In what year was the creator of the current arrangement of the ""Simpson's Theme"" born?","March 28, 1941"
53,The Southern Railway runs from Vienna to Graz and the border with Slovenia at Spielfeld via the first mountain railway built in Europe to use what kind of track?,standard gauge track
54,In what show did Cynthia Nixon receive the 2004 Primetime Emmy Award for Outstanding Supporting Actress in a Comedy Series and a Screen Actors Guild Award for her performance?,Sex and the City
55,"Lee Jun-fan played what character in ""The Green Hornet"" television series?",Kato
56,"The 1895/96 Football League season was the eighth in Football League history with Everton, their Goodison Park home, is a football stadium located in Walton, Liverpool, in which country?",England
57,"A Head Full of Dreams Tour is the seventh tour by Coldplay, and which had it's first show at a stadium that is known as Estadio Unico and is owned by who?",Province of Buenos Aires
58,"Roger Avary (born August 23, 1965) is a Canadian film and television producer, screenwriter and director in the American mass media industry, he wrote the screenplay for Beowulf, a 2007 British-American 3D motion capture epic fantasy film, directed by who?",Robert Zemeckis
59,"The American Pre-Code comedy film featuring an American actress, dancer, and singer, widely known for performing in films and RKO's musical films, was released in what year?",1932
60,"An edited version of ""Just the Two of Us"" reached number two on the ""Billboard"" Hot 100 behind a song written and composed by Donna Weiss and Jackie DeShannon which spend how many weeks at No. 1 on the ""Billboard"" hot 100?",nine
61,"Which band has more members, Saint Motel or Curve?",Saint Motel
62,"Funnybot is the second episode of the fifteenth season of which American animated television series, created by Trey Parker and Matt Stone?",South Park
63,"Which private research university is located in Chestnut Hill, Massachusetts Boston College or Stanford University?",Boston College
64,"What American stage, film, and television actor  who also appeared in a large number of musicals, played Samson in the 1949 film ""Samson and Delilah"".",Victor John Mature
65,Iqaluit Airport and Canadian North are based out of what country?,Canada
66,In what political party was the man who officially opened he Royal Spa Centre in 1972?,Conservative
67,Which Oscar-nominated film was written by the screenwriter who wrote a 1991 romantic drama based upon a screenplay by Sooni Taraporevala?,Salaam Bombay
68,Are both Tim McIlrath and Spike Slawson American punk rock musicians?,yes
69,"The Golden Globe Award winner for best actor from ""Roseanne"" starred along what actress in Gigantic?",Zooey Deschanel
70,"The expert mentor to the celebrities that perform on ""Splash!"" won the 2009 FINA World Championionship in the individual event at what age?",15
71,"Still Da Baddest is the fourth studio album by American rapper Trina, following the poor chart performance, ""I Got a Thang for You"" featuring which American singer/songwriter, record producer, business woman, and television personality, and was born in Oakland, California?",Keyshia Cole
72,What profession does Am Rong and Alexandre Rockwell have in common?,filmmaker
73,El Nuevo Cojo and Golf Magazine are both special interest publications but which one is owned by Time Inc?,Golf Magazine
74,Who funds the bowling team that includes the school bus driver for Springfield Elementary School?,Mr. Burns
75,What city are George Washington University Hospital and MedStar Washington Hospital Center located in?,"Washington, D.C."
76,what is the connection between Peter O'Meara and Norman Dike?,Band of Brothers
77,"What author has contributed to such works as ""New Statesmen"", ""The Nation"", and ""The Atlantic"", among others, while also being being associated with Dysteleology?",Christopher Hitchens
78,Who developed the prototype pacemaker used by the 34th President of the USA?,R Adams Cowley
79,Which publishing company has published Bizarre and a sister publication devoted to the anomalous phenomena popularised by Charles Fort?,Dennis Publishing
80,"Who performed the lead single on the album Friends in Low Places, No Fences, that reached #1 on Billboard?",Garth Brooks
81,Hate to Feel is the tenth track on what Alice in Chains' album that peaked as number six on the Billboard 200?,Dirt
82,"The lead singer and guitarist in the Portland, Oregon rock band consisting of John Gourley, Zach Carothers, Kyle O'Quin, Jason Sechrist and Eric Howk, goes by what alias?",The Fantastic The
83,What year was the winner of the 2016 Marrakesh ePrix born?,1988
84,"South Korean actor Kim Yool-ho starred in what 2016 movie directed by Yeon Sang-ho Yeon Sang-ho and starring actors Gong Yoo, Jung Yu-mi, and Ma Dong-seok?",Train to Busan
85,According to the 2006 census what is the population of the city in which James Iroha Uchechukwu was born ?,"722,664"
86,What actor in the film D.C. Cab also had a role in the TV series Barney Miller?,Max Gail
87,Which industry do Richard Hawley and Chicago's Catherine belong to?,rock band
88,Are Pam Veasey and Jon Jost both American?,yes
89,Maurice Hines and his brother were famous for what?,dancer Gregory Hines
90,Are the New Orleans Outfall Canals the same length as the Augusta Canal?,yes
91,In which stadium do the teams owned by Myra Kraft's husband play?,Gillette Stadium
92,What southern California based band covered Blue Öyster Cult's Godzilla?,Fu Manchu
93,"The Swedish-British entertainment studio executive and film executive producer, who was the Executive producer for a 2016 American action thriller film directed by Babak Najafi, currently serve?",CEO of Lionsgate UK & Europe
94,"an Emmy Award winner and two-time Tony Award winner, was on the episode 15 of the third season of ""Chuck"". what is her name ?",Swoosie Kurtz
95,"What is the current name of the Atlanta Mansion built for the daughter of the 41st Mayor of Atlanta, Georgia?",Lullwater Estate
96,Who invented the type of script used in autographs?,the Sumerians
97,Approximately what percentage of the global population is made up of the ethnic group Princess Fragrant was produced to improve relations with?,17%
98,The Boren-McCurdy proposals were partially brought about by which Oklahoma politician in 1992?,David Lyle Boren
99,The Thoen Stone is on display at a museum in what county?,Lawrence County
100,"Is Children's National Medical Center or MedStar Washington Hospital Center the largest private hospital in Washington, D.C.?",MedStar Washington Hospital Center
101,"Prince William, Duke of Gloucester and Prince George of Denmark, were eventually monarchs of which Kingdom?",Great Britain
102,"The airline operating in Whitehorse, Yukon handled how many passengers in 2012?","294,000"
103,"What State has a Disney Resort & Spa that is a beachside hotel, resort and vacation destination offering complimentary children's activities and programs and that Djuan Rivers was a General Manager at?",Hawaii
104,Are Wenling and Xinzheng both in China?,yes
105,What is the birth date of the coach of the 2014-15 Michigan Wolverines men's basketball team?,"February 5, 1953"
106,"Which organization presents the award in which Chris Noonan was nominated for his work in ""Babe?""",Academy of Motion Picture Arts and Sciences
107,Where is the base of one of the three main British intelligence agencies?,Cheltenham
108,"When a Man Falls in Love, is a 2013 South Korean television series, starring Song Seung-heon, Shin Se-kyung, Chae Jung-an, and which South Korean actor, born on ?","July 5, 1984"
109,What retailer is the second-largest in the United States and has a commercial featuring the American artist who was 1st runner-up in the 2005 USA Weekend Magazine's songwriting competition?,Target Corporation
110,"Which English actor of stage, film and television from the 1978 BBC drama ""Pennies From Heaven"" appeared in the 2006 BBC Four television play ""Kenneth Williams: Fantabulosa!?""",Cheryl Campbell
111,Who hosted both Miss USA 1968 and The Price Is Right?,Bob Barker
112,What video game published by Sierra Entertainment includes an antagonist figure who's mystery is the core of the series?,F.E.A.R.
113,Close to the Enemy starred the English actor known as Ash Morgan in what BBC series?,Hustle
114,The Bass Rock Lighthouse was next to what Castle?,Tantallon Castle
115,"Gülhane Park and Zografeion Lyceum, are located in which country?",Turkey
116,"What is the name of the movie in which Edwin Brown plays a man that executed at least 400 people, including William Joyce and John Amery?",10 Rillington Place
117,What genre of music is the solo artist that contributed to Real Damage a variant of?,synth-pop
118,Jake David Shapiro was best know for being the screenwriter of a film directed by who?,Roger Christian
119,"What book contains a poem which, along with ""Beowulf"" and the ""Anglo-Saxon Chronicle"", preserves a legendary list of the kings of the Angles?",Exeter Book
120,Norbert Holm was arrested and later demoted because of his Chief of Operations association with a military theorist popularly known as what?,the Desert Fox
121,What state does Sang-Wook Cheong work as a materials scientist?,New Jersey
122,What type of vegetation does Kniphofia and Baptisia have in common?,plant
123,"Californian rock band Lit recorded A Place in the Sun in 1995, but what's their best known song?",My Own Worst Enemy
124,"Gary Harrison, began his career in the 1970s and has written over how many major-label recorded songs including several number-one hits, another artist who have recorded his work include Bryan White, an American country music artist?",300
125,The 1976 German Grand Prix was won by a driver who retired in what year?,1979
126,What event at the Asian Junior Athletics Championships has men and women competing at the same time?,3000 metres steeplechase
127,Which 1999 French Open - Women's Doubles runner-up was born in Russia on 7 June 1981?,Anna Kournikova
128,What is the length of the River which has Wild Horse Creek as a tributary ?,375 mi long
129,Are Manhattan West and Singer Building both projects in New York?,yes
130,Who is the American internet entrepreneur who founded the company featured on 24 Hours on Craigslist?,Craig Newmark
131,"Between two tennis players Kim Clijsters and Mary Pierce, who is older?",Mary Pierce
132,Which American college that has sent students to Centre for Medieval and Renaissance Studies was founded in 1874?,St. Olaf College
133,"Hot Coffee, Mississippi sometimes shares a zipcode with a nearby city with what population at the 2010 census?","2,586"
134,Jo Ann Terry won the 80m hurdles event at what Sao Paulo-based event from 1963?,Pan American Games
135,"Pearl Lowe and Alison Goldfrapp, is of which nationality?",English
136,Which British company whose majority of its business interests are in Asia was related to the London Based Trading house Matheson & Company?,Jardine Matheson
137,"What man, also known as mi Sde-Or, created a military self-defense system developed for the Israel Defense Forces?","Emrich ""Imi"" Lichtenfeld"
138,Do musicians Robert Fleischman and Jimmy Barnes have the same nationality?,no
139,"What is the name of this American multinational corporation that provides IT services, headquartered in New Jersey, that acquired Mirabeau?",Cognizant
140,When was Fannie Lee Chaney's son born?,"May 30, 1943"
141,"The Canada Memorial in Green Park, London, United Kingdom, commemorates members of the Canadian Forces killed during the First and Second World Wars, the memorial was the result of lobbying and fund raising, much of it in Canada, by the former Canadian media tycoon Conrad Moffat Black, his title is what, of this British former newspaper publisher and author?",Lord Black of Crossharbour
142,WNP-3 and WNP-5 were constructed by the agency formed in which year?,1957
143,"he Central Harbourfront is a waterfront site it is the result of Central and Wan Chai Reclamation, and it sits to the east of the International Finance Centre (IFC), a skyscraper and an integrated commercial development on the waterfront of the Central District, of which territory?",Hong Kong
144,What city does Bundestag and Reichstag building have in common?,Berlin
145,"Which musician, Edwyn Collins or Jimmie Ross, played the bass guitar?",Jimmie Ross
146,"what is the 3112 acre Pennsylvania state park that took over 11,000 to make due to the wave action of lake Erie called?",Presque Isle
147,Teri W. Odom is a member of a scientific journal first published in 2007 by who?,the American Chemical Society
148,What forensic psychiatrist consulted on numbers cases including one for a contract killer associated with the DeCavalcante crime family?,Park Dietz
149,"Which American singer-songwriter known as ""the Caruso of Rock"", recorded on the Monument Records label and had hits such as ""Pretty One,"" and ""Uptown""?",Roy Orbison
150,"The central character of ""The Adventures of Brer Rabbit"" was later adapted into which 1946 Walt Disney Company motion picture film?",Song of the South.
151,Abraham Weinberg was a suspect in the killing of which Irish-American hitman?,"Vincent ""Mad Dog"" Coll"
152,Benjamin Halfpenny was a footballer for a club that plays its home matches where?,Select Security Stadium
153,"The 2000–01 NBA season was the Jazz's 27th season in the National Basketball Association, and 22nd season in Salt Lake City, Utah, after the retirement of Jeff Hornacek, the Jazz signed free agents John Starks, and who?",Danny Manning
154,What was population of the city where the Dutch retired footballer Foeke Booy born?,"108,249"
155,In what year was the company that co-developed and distributed the BlackBerry DTEK60 founded?,1984
156,Who chaired the ceremony in which the film written by Canet and Philippe Lefebvre won the award for Best Film?,Isabelle Mergault
157,"Mookychick is an independent daily online magazine and community with more than 100,000 readers a month and over 5,000 forum members, content includes analysis of current sociopolitical events, social and cultural trends, alternative fashion, movies, books, music and arts and crafts from a feminist perspective, in contrast with feminist publications and communities such as which women's lifestyle magazine that is published six times a year, and is published by Debbie Stoller and Laurie Henzel?",BUST
158,Der Mond was composed by the man who was best known for what cantata?,Carmina Burana
159,Mackenzie Davis appeared in the 2013 Canadian romantic comedy film directed by whom?,Michael Dowse
160,The Developing Communities Project's first executive director was which former President?,Barack Hussein Obama II
161,"Jane's Addiction and Weeping Willows, play which genre of music?",rock
162,"Throne of Glass is a young adult high fantasy novel series, by which bestselling American fantasy author?",Sarah Janet Maas
163,"The largest ship in the ""Imperator"" class ocean liners had how many gross register tons?","56,551"
164,Axle Whitehead was a part of an American comedy-drama television series that is a remake of the British series with the same name set in what city?,Chicago
165,Were both Joseph Roth and Cid Corman authors?,yes
166,What was the event that Afghanistan competed in for the first time in 2017 officially known as?,the 23rd Summer Deaflympics
167,Who was the director of the 2001 American romantic comedy film written by Marc Klein in which Lucy Gordon had a small role?,Peter Chelsom
168,What hamlet and census designated place was the location of the only pay-per-view Bunkhouse Stampede?,"Uniondale, New York"
169,La Barredora was a gang that declared war on the leader of the cartel based where?,Sinaloa
170,What year did the chairman of the Jenkins Commission die?,2003
171,"Who was born first, Odysseas Elytis or Cornel West?",Odysseas Elytis
172,"Let Me Out is a song released as the fifth single from what band's fifth studio album ""Humanz"" which was recorded in London, Paris, New York City, Chicago, and Jamaica ?",alternative rock virtual band Gorillaz
173,Up to how far off can the Deal Timeball be from Coordinated Universal Time?,0.9 s.
174,"Superheaven and Oceansize, are bands of which shared genre?",rock
175,What nationality was a  historical drama film directed by?,Argentine
176,"Who has more scope of profession, Richard Ford or Robert E. Howard?",Richard Ford
177,The American Aircraft Penetrator was modified from a helicopter produced by what nation's military?,United States
178,"Canton Road Station was a planned railway station on the Kowloon Southern Link of West Rail Line, that was to run beneath a large shopping mall located where?","Tsim Sha Tsui, Hong Kong"
179,What South Korean sitcom starred a South Korean singer and actress who began her music career at the age of 15?,The Producers
180,Ghostbusters is a song written and recorded by Ray Parker Jr. as the theme song for a movie starring a Canadian-American actor who was an original member of the Not Ready for Prime Time Players on what show?,Saturday Night Live
181,"Gelatine was an airship piloted on September 19, 1905 by a pioneer American aviator and what?",barnstormer
182,"Which movie was released first, The Hunchback of Notre Dame or Saludos Amigos?",Saludos Amigos
183,In what country did the repression of citizens by a dictator during the period of 1973 to 1990 occur?,Chile
184,The mother of the vice chair of Hillary Clinton's 2016 campaign for President is the director of what institue?,Institute of Muslim Minority Affairs
185,"Michael Ralph DeVito (born June 10, 1984) is a former American football defensive end, he  the National Football League (NFL), DeVito attended high school at Nauset Regional High School an NEASC accredited high school located in North Eastham, in which state?",Massachusetts
186,Apocalypic is a song sung by Lizzy Hale from which group?,Halestorm
187,Ted Sutton plays Sergeant Cunningham in a2002 film that stars Mel Gibson as what character?,Graham Hess
188,"Who is the former professional tennis player from Italy, Chris Evert or Mara Santangelo?",Mara Santangelo
189,Who directed a film that included Sarah Manninen?,Martha Coolidge
190,"The republic with the smallest population of all the members of the Council of Europe is one of few places in Europe where a species of beetle cannot be found, that wew originally described in 1809 by whom?",Panzer
191,"At the 2011 census, what was he population of the city where Kerry Saxby-Junna was born?","6,960"
192,"How many German scientists, engineers, and technicians, were recruited in post-Nazi Germany as a result of the clandestine operation where Arthur Rudolph became one of the main developers of the U.S. ?space program","more than 1,600"
193,Marion is approximately 50 mi north of a city that is the third-most populous what in the U.S.?,state capital
194,Jayantabhai Ki Luv Story includes a lead role for the film actress and model who is a native of what city?,Bihar
195,"Which is currently more valuable, Temagami-Lorrain Mine or Meadowbank Gold Mine?",Meadowbank Gold Mine
196,St James Street appears as a segment of Whitecross Street on the 1610 map of the Monmouth by an English historian best known as a mapmaker of what perior?,Stuart period
197,The Pineground Bridge formerly carried Depot Road over the Suncook River into a town with a population of what?,"2,523"
198,"Which city is the American rock band, that released their album on March 19, 2012, from?","Albuquerque, New Mexico"
199,The Rossendale Free Press serves the town how far north of Manchester?,19 mi
200,Which american president's father was a farmer and he was a former US representative from NY?,Millard Fillmore
201,The End of the Innocence was a single by which former member of the Eagles?,Donald Hugh Henley
202,What suburban county on Long Island and the easternmost county in the U.S. state of New York is the location of a village called Lindenhurst?,Suffolk County
203,Which Lightweight division mixed martial artist founded the American Combat Association?,Kamal Shalorus
204,Which video game producers worked with an English film director to produce a film about sports?,Rockstar Games
205,Who won a Nobel Prize in 1943 and is associated with Max Volmer?,Otto Stern
206,Who was born first Neil LaBute or H. Bruce Humberstone?,"H. Bruce ""Lucky"" Humberstone"
207,Were Eatza Pizza and Your Pie founded in the same state?,no
208,Who is younger Mary Ramsey or Lee Ranaldo ?,Mary Ramsey
209,What type of species is a Boreo-arctic Montane species found in the most northerly of the abstract five major circles of latitude as shown on maps of the Earth?,beetle
210,What year was the thesis supervisor of Jocelyn Bell Burnell awarded the Eddington Medal?,1969
211,"What musical genre was the song that, according to Annet Artani, inspired the Britney Spears song ""Everytime""?",R&B
212,British band The Wanted's third album includes a song with a title about which Barbadian superstar?,Rihanna
213,"Jonas Hummels is the younger brother of a German professional footballer who plays for the German national team, and who else?",Bayern Munich
214,How many test centuries did the grandfather of Fabian Cowdrey make for England ?,22
215,Anti-Semetism in the 21st Century: The Resurgence was hosted by a journalist and writer who is an anchor of what show?,PBS NewsHour
216,Which of the following is best known for publicly championing a terminal patient's right to die via physician-assisted suicide: Christy Canyon or Jack Kevorkian?,"Jacob ""Jack"" Kevorkian"
217,The plaintiff in the civil suit Paul v. Clinton was born in which year ?,1948
218,How long was the rule of the dynasty that was active when the Rosetta Stone was inscribed?,275 years
219,Sojourners and KO Magazine share what publication format?,magazine
220,"At which stadium does the team, for which Baltimore's Marching Ravens is the official marching band, play its home games?",M&T Bank Stadium
221,"The John Messer Barn is a historic structure within the Great Smoky Mountains National Park in Sevier County, Tennessee, this barn is a different Messer Barn in which valley, in the Great Smoky Mountains of North Carolina, located in the Southeastern United States?",Cataloochee
222,"The NBC-affiliated television station, owned by an American telecommunications company whose founder is Julian Sinclair Smith, called WJAR is more commonly known as what?",NBC 10
223,What nationality is the actress who played the role of Sam Sloan's wife Trudy in the sitcom The Single Guy ?,American
224,"What shopping mall is the largest in south Texas, Malle del Norte or La Plaza Mall?",La Plaza Mall
225,"Who is the mother of the prince that had allegations made against him related to the lawsuit ""Two Jane Does v US""?",Queen Elizabeth II
226,In between Memphis International Airport and Southwest Georgia Regional Airport which one is in Tennessee?,Memphis International Airport
227,"Which airport is closer to Cleaveland, Ohio, Luis Muñoz Marín International Airport or Rickenbacker International Airport?",Rickenbacker International Airport
228,What profession do Kōbō Abe and Agatha Christie share?,playwright
229,What all female high school is located in a town in Sunyani West District  in the Brong-Ahafo Region of Ghana?,Notre Dame High School
230,"Jinchang and Liling, are located in which country?",China
231,What type of vegetation does Fothergilla and Clerodendrum have in common?,plants
232,What are the plants in the same genus as the Dendranthema boreale sometimes called?,mums or chrysanths
233,Who is the composer Howard Ashman worked with on his musical released in 1982?,Alan Menken
234,What actor portrayed a character in a television series about a fictional race of superhumans appearing in American comic books published by Marvel Comics?,"Kenneth ""Ken"" Leung"
235,What comic book published the female superhero created by J. H. Williams III?,DC Comics
236,What country of origin does Nick Kroll and Get Him to the Greek have in common?,American
237,"The character portrayed in ""Giuliani Time"" is a real-life informal adviser to the White House in which area?",cybersecurity
238,Thomas Harris is a novelist who is famous for creating which character?,Hannibal Lecter
239,"Who founded the college attended by Thomas Balston, member of the Whatman paper-making family?",William of Wykeham
240,Joh Bruce Yeh founded a chamber ensemble who won a Grammy in 1985 for their recording of this work based on what Rusian folk tale?,The Runaway Soldier and the Devil
241,"Which director is American, Mark L. Lester or Ken Loach?",Mark L. Lester
242,Kerrygold Irish Cream Liqueur is owned by a company that mainly sells what type or product?,dairy products
243,The USS LST-510 is a ferry between New London and Orient but what is the population of Orient?,743
244,"Which band has more members, Muse or The Raconteurs?",The Raconteurs
245,Titus is the soundtrack to the film that starred which actors?,Anthony Hopkins and Jessica Lange
246,"The producer of The Wreckage of Stars also produced albums for Texas in July, Everclear, and what other American metalcore band from Lancaster, Pennsylvania?",August Burns Red
247,"What magazine an American monthly food and lifestyle magazine founded in 1987, Cooking Light or Hot Rod?",Cooking Light
248,"Which tennis player has received a higher World singles ranking, Xavier Malisse or Virginia Wade?",Virginia Wade
249,"Atoms for Peace are an English-American experimental rock supergroup comprising Radiohead singer Thom Yorke, is an English musician and composer, best known as the singer and principal songwriter of which band?",Radiohead
250,What was the year founded of the football team that Aaron Galindo is currently a part of?,1928
251,What is the nationality of the singer-songwriter who wrote the poetry collection Early Work ?,American
252,Where does Lance Stephenson of the Indiana Pacers basketball team play his home games?,Bankers Life Fieldhouse
253,Where did the father of Maria Brontë spend most of his adult life?,England
254,What is the name of the architect who designed the Lincoln Memorial dedicated in 1922?,Henry Bacon
255,Toronto's Insight Sports is partially owned by what Canadian businessman?,Lawrence M. Tanenbaum
256,Who was born first George Marshall or Allan Dwan ?,Allan Dwan
257,"The 2005 documentary ""The Aristocrats"" was dedicated to a comedian that received how many Emmy Awards?",six
258,The Nike Mercurial Vapor is a football shoe worn by which Colombian striker?,Carlos Arturo Bacca Ahumada
259,Lendley C. Black is Chancellor of a university offering how many majors?,85
260,West Ridge and the ridge that has IndependenceAvenue/Liberation Avenue as its eastern boundary are separated by what road?,Castle Road
261,What is the historical name of the acid that dissolves phenazine?,oil of vitriol
262,"Who completed more books in their lifetime, Anne Frank or John Kennedy Toole?",John Kennedy Toole
263,"Die Meistersinger von Nürnberg and Iphigénie en Aulide, are which type of music drama?",opera
264,"What side of town is the Chicago Mayer-endorsed, 38th Ward of the City of Chicago alderman serving?",Northwest Side
265,What American professional basketball player born in 1986 was awarded the Dave Gavitt Trophy during the 2007 Big East Men's Basketball Championship?,Jeffrey Lynn Green
266,Where is the company that built Woodvale Historic District located?,"Rockhill Furnace, Pennsylvania"
267,"The Time: Night, is a novella by which Russian writer, novelist and playwright?",Lyudmila Stefanovna Petrushevskaya
268,From what country are both Maurice Newman and Macquarie University?,Australia
269,Were Up and The Watercolor released in the same year?,yes
270,Which mentor in the 3rd Sa Re Ga Ma Pa Challenge died in Kokilaben hospital?,Aadesh Shrivastava
271,"What city is located in Gauteng, South Africa with a suburb called Kew?",Johannesburg
272,"What electronic band's  song ""Dangerous"" was certified gold by the RIAA in May 2015?",Big Data
273,Are David Gordon Green and Larry Hagman both actors?,no
274,For which North American auto racing series launched by the Sports Car Club of America does Jack Baldwin drive a Porsche Cayman S?,Pirelli World Challenge
275,Are Calochone and Adlumia both plants?,yes
276,What year was the English actor and film producer born in who also starred in an adaptation with Renee Zellweger?,1960
277,"Who's the Hungarian-born US film director renowned for adapting Stephen King novellas to the screen, including The Mist and The Green Mile?",Frank Darabont
278,"Which species, Cardwellia or Ochagavia, is native to South America?",Ochagavia
279,Are Grasshopper and Sake bomb both types of drinks?,yes
280,"Donington School F.C. was an English football club, based in which large village and civil parish in the South Holland district of Lincolnshire, England?","Donington, Lincolnshire"
281,Who achieved fame starring alongside John Richard Schneider in a television series?,Tom Wopat
282,"Who was born first, Joe Manganiello or Kirk Kerkorian?","Kerkor ""Kirk"" Kerkorian"
283,Lee Il-hyung's first feature film was released by which company ?,Showbox
284,"Rick Seibold has worked with what artist known for her role in ""Big Time Rush""?",Katelyn Tarver
285,"Where is the band that wrote ""The Drug in Me Is You"" based in?","Las Vegas, Nevada"
286,Who wrote and directed the film in which Adam Beach played Slipknot?,David Ayer
287,"Alamgir joined Meesha Shafi, Strings, Ali Azmat and Shahzad Hasan as a judge on which popular show?",Music Icons
288,What network is the reality TV Show that features American former professional baseball left fielder who played 22 seasons in Major League Baseball (MLB) with the Pittsburgh Pirates and San Francisco Giants?,ESPN
289,What is the name of the Los Angeles resident who directed a 2016 American superhero film about a surgeon who learns the mystic arts after a career-ending car accident?,Scott Derrickson
290,Emprise Bank has branches in a city situated along what river?,Neosho River
291,Who represents the district that Gawthorpe is in?,Julie Cooper
292,"George Palmer Putnam, was an American publisher, author and explorer, known for his marriage to who, which American aviation pioneer and author, and was the first female aviator to fly solo across the Atlantic Ocean?",Amelia Earhart
293,Emma Rose Kenney's roll in a Blue Sky Studios produced film earned how much money?,$268 million
294,The President of Egypt that changed the Hamayouni Decree was born in what year?,1928
